line         score     log(score)
 avg  4.922996e-11     -23.734519
 tot  0.000000e+00 -688301.042368

  line         score  log(score)
   313  7.304241e-08  -16.432226
   314  4.398206e-11  -23.847239
   315  4.954400e-04   -7.610064
   316  1.295279e-02   -4.346444
   317  1.209595e-10  -22.835565
   318  9.312542e-12  -25.399659
   319  3.773401e-03   -5.579778
   320  2.811203e-08  -17.387068
   321  1.264296e-02   -4.370655
   322  5.355506e-06  -12.137385
   323  3.728315e-06  -12.499554
   324  1.513609e-13  -29.519110
   325  1.036819e-10  -22.989694
   326  1.041801e-23  -52.918506
   327  4.194329e-07  -14.684362
   328  8.042374e-07  -14.033371
   329  3.809921e-06  -12.477902
   330  4.010553e-02   -3.216241
   331  3.002634e-09  -19.623776
   332  6.297901e-08  -16.580464
   333  1.252548e-04   -8.985160
   334  1.020082e-12  -27.611138
   335  7.481053e-07  -14.105722
   336  5.249833e-05   -9.854729
   337  1.233514e-05  -11.303058
   338  8.023421e-05   -9.430561
   339  6.030450e-07  -14.321274
   340  6.018342e-16  -35.046550
   341  5.515257e-05   -9.805407
   342  3.089618e-06  -12.687463
   343  1.801376e-09  -20.134715
   344  3.258802e-13  -28.752246
   345  8.833284e-10  -20.847324
   346  2.172939e-13  -29.157525
   347  7.803656e-03   -4.853163
   348  1.491836e-08  -18.020673
   349  2.078366e-05  -10.781343
   350  1.834077e-06  -13.208969
   351  1.426614e-07  -15.762792
   352  1.356165e-09  -20.418605
   353  5.550134e-06  -12.101689
   354  1.489845e-14  -31.837519
   355  4.238686e-09  -19.279012
   356  1.960237e-02   -3.932105
   357  1.554491e-04   -8.769192
   358  1.587498e-19  -43.286957
   359  5.106834e-05   -9.882346
   360  1.153099e-06  -13.673057
   361  2.475252e-12  -26.724679
   362  2.063444e-07  -15.393719
   363  2.681042e-04   -8.224135
   364  4.415536e-26  -58.382083
   365  5.675247e-03   -5.171641
   366  5.801870e-06  -12.057330
   367  4.043402e-10  -21.628764
   368  2.116799e-05  -10.763020
   369  1.183797e-02   -4.436443
   370  2.177194e-10  -22.247814
   371  3.578313e-11  -24.053545
   372  3.164308e-15  -33.386842
   373  6.340126e-13  -28.086708
   374  3.635139e-07  -14.827448
   375  3.541974e-03   -5.643071
   376  4.553230e-08  -16.904844
   377  1.812058e-10  -22.431387
   378  1.855337e-08  -17.802614
   379  1.598556e-05  -11.043825
   380  6.188755e-08  -16.597947
   381  1.069868e-06  -13.747975
   382  8.481935e-17  -37.006008
   383  5.602371e-07  -14.394906
   384  1.049071e-05  -11.465021
   385  2.174247e-06  -13.038828
   386  1.713248e-06  -13.277120
   387  1.242554e-10  -22.808682
   388  1.020691e-19  -43.728637
   389  1.357459e-05  -11.207311
